country,people,year
Uganda,"45,741,007",2020
Uganda,"44,269,594",2019
Uganda,"42,729,036",2018
Uganda,"41,166,588",2017
Uganda,"39,649,166",2016
Uganda,"38,225,453",2015
Uganda,"32,428,167",2010
Uganda,"27,684,585",2005
Uganda,"23,650,172",2000
Uganda,"20,413,152",1995
Uganda,"17,354,392",1990
Uganda,"14,559,355",1985
Uganda,"12,442,334",1980
Uganda,"10,737,403",1975
Uganda,"9,405,600",1970
Uganda,"7,986,066",1965
Uganda,"6,767,095",1960
Uganda,"5,888,793",1955
Tanzania,"59,734,218",2020
Tanzania,"58,005,463",2019
Tanzania,"56,313,438",2018
Tanzania,"54,660,339",2017
Tanzania,"53,049,230",2016
Tanzania,"51,482,633",2015
Tanzania,"44,346,525",2010
Tanzania,"38,450,320",2005
Tanzania,"33,499,180",2000
Tanzania,"29,649,135",1995
Tanzania,"25,203,845",1990
Tanzania,"21,633,796",1985
Tanzania,"18,538,259",1980
Tanzania,"15,885,229",1975
Tanzania,"13,535,481",1970
Tanzania,"11,634,832",1965
Tanzania,"10,052,152",1960
Tanzania,"8,729,662",1955
China,"1,439,323,776",2020
China,"1,433,783,686",2019
China,"1,427,647,786",2018
China,"1,421,021,791",2017
China,"1,414,049,351",2016
China,"1,406,847,870",2015
China,"1,368,810,615",2010
China,"1,330,776,380",2005
China,"1,290,550,765",2000
China,"1,240,920,535",1995
China,"1,176,883,674",1990
China,"1,075,589,361",1985
China,"1,000,089,235",1980
China,"926,240,885",1975
China,"827,601,394",1970
China,"724,218,968",1965
China,"660,408,056",1960
China,"612,241,554",1955
Italy,"60,461,826",2020
Italy,"60,550,075",2019
Italy,"60,627,291",2018
Italy,"60,673,701",2017
Italy,"60,663,060",2016
Italy,"60,578,494",2015
Italy,"59,325,229",2010
Italy,"58,281,212",2005
Italy,"56,692,178",2000
Italy,"57,174,408",1995
Italy,"57,048,236",1990
Italy,"56,936,774",1985
Italy,"56,349,349",1980
Italy,"55,265,284",1975
Italy,"53,518,969",1970
Italy,"51,677,257",1965
Italy,"49,699,951",1960
Italy,"48,335,578",1955
South Africa,"59,308,690",2020
South Africa,"58,558,270",2019
South Africa,"57,792,518",2018
South Africa,"57,009,756",2017
South Africa,"56,207,646",2016
South Africa,"55,386,367",2015
South Africa,"51,216,964",2010
South Africa,"47,880,601",2005
South Africa,"44,967,708",2000
South Africa,"41,435,758",1995
South Africa,"36,800,509",1990
South Africa,"32,678,874",1985
South Africa,"28,556,769",1980
South Africa,"25,195,187",1975
South Africa,"22,069,776",1970
South Africa,"19,384,841",1965
South Africa,"17,099,840",1960
South Africa,"15,206,502",1955
Kenya,"53,771,296",2020
Kenya,"52,573,973",2019
Kenya,"51,392,565",2018
Kenya,"50,221,142",2017
Kenya,"49,051,534",2016
Kenya,"47,878,336",2015
Kenya,"42,030,676",2010
Kenya,"36,624,895",2005
Kenya,"31,964,557",2000
Kenya,"27,768,296",1995
Kenya,"23,724,579",1990
Kenya,"19,877,083",1985
Kenya,"16,417,197",1980
Kenya,"13,575,907",1975
Kenya,"11,301,394",1970
Kenya,"9,530,173",1965
Kenya,"8,120,080",1960
Kenya,"6,987,658",1955
Colombia,"50,882,891",2020
Colombia,"50,339,443",2019
Colombia,"49,661,048",2018
Colombia,"48,909,839",2017
Colombia,"48,175,052",2016
Colombia,"47,520,667",2015
Myanmar,"54,409,800",2020
Myanmar,"54,045,420",2019
Myanmar,"53,708,320",2018
