title,link,special_price,normal_price,User-Agent
Authentic Vandyvape Pulse AIO Kit - Frosted White,https://www.cigabuy.com/authentic-vandyvape-pulse-aio-kit-frosted-white-p-22321.html,$57.15,$95.61 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Uwell Caliburn A2 Pod Kit - Grey,https://www.cigabuy.com/authentic-uwell-caliburn-a2-pod-kit-grey-p-21868.html,$12.49,$25.12 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape L200 Aegis Legend 2 Kit - Black,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-black-p-21203.html,$48.84,$86.26 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape L200 Aegis Legend 2 Kit - Rainbow,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-rainbow-p-21208.html,$48.84,$86.26 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Vandyvape NOX Pod Kit - Carbon Black,https://www.cigabuy.com/authentic-vandyvape-nox-pod-kit-carbon-black-p-21841.html,$24.99,$35.17 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape L200 Aegis Legend 2 Kit - Red,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-red-p-21209.html,$48.84,$86.26 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Vandyvape NOX Pod Kit - Twilight Blue Red,https://www.cigabuy.com/authentic-vandyvape-nox-pod-kit-twilight-blue-red-p-21844.html,$24.99,$35.17 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape S100 Aegis Solo 2 Kit with Z Sub-ohm 2021 Tank - Red,https://www.cigabuy.com/authentic-geekvape-s100-aegis-solo-2-kit-with-z-sub-ohm-2021-tank-red-p-21878.html,$45.43,$82.03 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Steam Crave Hadron Plus DNA250C Mod - Silver,https://www.cigabuy.com/authentic-steam-crave-hadron-plus-dna250c-mod-silver-p-22037.html,$124.93,$179.95 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape M100 Aegis Mini 2 Mod - Navy Blue,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-mod-navy-blue-p-21893.html,$37.48,$66.85 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape M100 Aegis Mini 2 Mod - Classic Black,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-mod-classic-black-p-21891.html,$37.48,$66.85 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
